appdeveloper_id,appid,developer_id
500,21670,2546
501,21680,2546
502,21690,2546
503,21780,16302
504,21800,16282
505,21980,15384
506,22000,85
507,22100,15159
508,22120,5709
509,22130,11607
510,22180,5709
511,22200,352
512,22230,352
513,22300,1725
514,22310,12757
515,22320,1725
516,22330,1725
517,22350,14473
518,22370,1725
519,22380,11157
520,22450,7587
521,22500,1061
522,22500,15723
523,22600,15359
524,22610,15360
525,22650,15359
526,22670,15359
527,23150,12780
528,23300,14511
529,23380,12236
530,23380,14511
531,23400,6631
532,23420,11607
533,23450,6631
534,23460,12747
535,23490,6631
536,23500,7459
537,23530,16623
538,23600,14276
539,23700,7459
540,24010,4334
541,24200,3831
542,24240,11504
543,24400,10653
544,24410,10653
545,24420,1850
546,24460,10653
547,24480,10653
548,24640,10512
549,24650,10512
550,24670,10512
551,24720,4579
552,24740,3405
553,24780,1260
554,24780,4579
555,24790,4581
556,24800,4581
557,24810,4581
558,24840,4581
559,24870,14116
560,24960,4068
561,24980,1832
562,25000,17272
563,25010,17272
564,25500,10104
565,25600,1546
566,25620,1546
567,25700,12092
568,25800,11607
569,25830,1934
570,25850,55
571,25890,11607
572,25900,49
573,25910,1566
574,25930,10906
575,25980,55
576,25990,3537
577,26000,16234
578,26300,11556
579,26800,11106
580,26900,8493
581,27000,15151
582,27020,15151
583,27050,15151
584,27200,161
585,27330,17741
586,27400,10372
587,27600,12815
588,27800,9080
589,27810,9080
590,27900,4242
591,27920,4242
592,27940,4242
593,28000,7591
594,29120,8589
595,29130,8589
596,29160,4950
597,29180,6859
598,29800,4734
599,29900,4115
600,31270,15414
601,31300,12934
602,31800,6877
603,31810,6877
604,31820,6877
605,31830,6877
606,31840,6877
607,31850,6877
608,31860,6877
609,31870,6877
610,31880,6877
611,31890,6877
612,31900,6877
613,31910,6877
614,31920,6877
615,31930,6877
616,31980,6877
617,32000,14093
618,32000,15678
619,32110,10422
620,32120,10422
621,32140,10422
622,32150,16163
623,32160,10422
624,32200,1921
625,32310,9225
626,32330,16059
627,32340,9225
628,32350,9225
629,32360,9225
630,32370,1260
631,32370,1832
632,32380,9225
633,32390,9225
634,32400,9225
635,32410,9225
636,32420,8609
637,32430,1262
638,32430,9225
